cell_type	gene	n_frail	n_healthy_old_non_frail	log2cpm_difference	p_value	adj_p_value_bh	test
B	BCL2	5	6	0.7461337787199156	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	RP11-488L18.8	5	6	-0.8718664114601227	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	CH507-513H4.4	5	6	1.7208090264050697	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	C21orf91	5	6	-1.1768915920826828	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	CCT6A	5	6	-0.6984462996635887	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	THAP5	5	6	-1.2153959173607212	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	GABPA	5	6	-1.0262890519220798	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	KLHL2	5	6	1.3318662057725805	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	TMA16	5	6	-0.7619930785151299	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	MXI1	5	6	1.1480986344699797	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	ZNF280C	5	6	-1.5669994258030542	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	SMC3	5	6	-0.8107013549981854	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	HDAC4	5	6	-0.9065031479661767	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	CUL4B	5	6	-0.8767992519159229	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	LINS1	5	6	-0.8447678682536854	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	ZNF23	5	6	-0.7549877843229624	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	KAT6A	5	6	-1.2482836603794878	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	EXOSC6	5	6	1.0750249535811465	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	DUSP5	5	6	3.3548200430125434	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	NHLRC2	5	6	-0.9182133412761697	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	BUB3	5	6	-0.6481845493282421	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	CHST10	5	6	0.9420143143002133	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	REV1	5	6	-0.7512959300797544	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	CTD-2192J16.22	5	6	1.497166445427168	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	IFRD1	5	6	0.7602964491589379	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	GZMB	5	6	-2.878862784967698	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	CH507-42P11.8	5	6	1.0657791064171236	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	ZKSCAN8	5	6	-1.0347059832414542	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	GALM	5	6	-1.1836983662643594	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	RNPEPL1	5	6	1.4761855120462903	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	RUNDC1	5	6	-0.7530021603273598	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	IRF5	5	6	-1.2264575393719461	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	PIM3	5	6	1.6347292319086	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	PPP2R3C	5	6	-0.4653252344966754	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	SNX6	5	6	-0.7323491121340622	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	MLEC	5	6	-0.5397895005038298	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	RP11-347I19.7	5	6	1.3462272030555729	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	HECTD1	5	6	-0.6108304996101914	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	FAM89B	5	6	2.6018969654080664	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	ZHX2	5	6	-1.1959591387026514	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	DCAF7	5	6	-0.6900855805329744	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	WDR55	5	6	-0.8152876881119839	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	FAM73A	5	6	-0.8009449443194576	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
