cell_type	gene	n_frail_F	n_healthy_old_non_frail_F	mean_log2cpm_frail_F	mean_log2cpm_healthy_old_non_frail_F	log2cpm_difference_frail_minus_control_F_only	cliffs_delta	p_value	test	adj_p_value_bh
Monocyte_CD14	AC114730.2	5	3	2.0067359947399113	0.8133049980845465	1.1934309966553647	1.0	0.03571428571428571	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	AC114730.3	5	3	2.0960870102409017	0.5715371599210027	1.5245498503198989	1.0	0.03571428571428571	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	AC116366.6	5	3	2.5800363756795504	4.679514327563205	-2.099477951883655	-1.0	0.03571428571428571	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	AC144831.3	5	3	0.4079315244456151	0.9797789191849621	-0.571847394739347	-1.0	0.03571428571428571	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	AC245100.1	5	3	4.17790685378303	4.889790354772312	-0.7118835009892814	-1.0	0.03571428571428571	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	AC253572.1	5	3	1.9568997474429064	3.4573638277367613	-1.500464080293855	-1.0	0.03571428571428571	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	ACADS	5	3	2.729916268267268	3.281732119796086	-0.5518158515288176	-1.0	0.03571428571428571	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	ACAP2	5	3	6.209694983498126	7.679742497040535	-1.4700475135424087	-1.0	0.03571428571428571	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	ACAP3	5	3	3.9773673424183267	4.3504012065960715	-0.37303386417774487	-1.0	0.03571428571428571	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	ACBD3	5	3	4.190108050765654	4.645635758936192	-0.45552770817053734	-1.0	0.03571428571428571	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	ACBD6	5	3	4.454842547117702	4.953061493766658	-0.49821894664895616	-1.0	0.03571428571428571	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	ACIN1	5	3	4.795816356595812	6.0564511634179405	-1.2606348068221287	-1.0	0.03571428571428571	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	ACOX1	5	3	3.2128528968683012	4.357699648602236	-1.144846751733935	-1.0	0.03571428571428571	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	ACOX2	5	3	1.7763726674123856	0.8241905008242686	0.952182166588117	1.0	0.03571428571428571	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	ACP1	5	3	5.550813054119954	6.074344428802976	-0.5235313746830226	-1.0	0.03571428571428571	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	ACSF2	5	3	1.8974242641322854	2.501999778060237	-0.6045755139279518	-1.0	0.03571428571428571	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	ACSM3	5	3	0.9924028116006418	1.7422906471954913	-0.7498878355948495	-1.0	0.03571428571428571	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	ACSS2	5	3	4.290803575926215	5.0608558385156455	-0.7700522625894308	-1.0	0.03571428571428571	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	ACTB	5	3	13.008219296759458	12.686865410226288	0.32135388653317065	1.0	0.03571428571428571	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	ACTR1A	5	3	5.214640070402309	5.549846796493441	-0.33520672609113156	-1.0	0.03571428571428571	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
