cell_type	gene	n_donors	n_frail	n_healthy_old_non_frail	n_F_series	n_OH_series	coef_frail_vs_healthy_adjusted_for_OH	ci95_low	ci95_high	p_value_group	coef_OH_platform	p_value_platform	r_squared	test	adj_p_value_bh_group
Monocyte_CD14	KCTD10	11	5	6	8	3	-0.8974240938942297	-1.498243802256964	-0.2966043855314955	0.008766789745550209	0.887177839693654	0.015927370678275054	0.8566512227607257	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06547171150729132
Monocyte_CD14	TRIM4	11	5	6	8	3	-0.8493370452469804	-1.4180261917775518	-0.28064789871640905	0.008771750514225171	0.48742254373154026	0.11506944966819486	0.7984861303299245	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.0654748520526093
Monocyte_CD14	FNBP1	11	5	6	8	3	-0.7588851802782867	-1.2670884757561955	-0.2506818848003778	0.008778569770868981	-0.30541860184771696	0.25027035336395265	0.6105343555144536	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06547490795362808
Monocyte_CD14	SOCS3	11	5	6	8	3	0.8127755469407018	0.268455713466599	1.3570953804148045	0.008780838498184363	0.09230681186071532	0.7355395388748364	0.6590673135234184	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06547490795362808
Monocyte_CD14	RINT1	11	5	6	8	3	-1.0882670039101507	-1.8172762201845987	-0.3592577876357028	0.008792539005621446	0.4384642414857858	0.2499268327655798	0.7675749740368458	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06552827131786403
Monocyte_CD14	POLG2	11	5	6	8	3	-1.1917752357520885	-1.9902894487199205	-0.39326102278425656	0.008801859245764425	0.12370147784262464	0.757516983875071	0.70551719870998	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06556384926816568
Monocyte_CD14	KLHL20	11	5	6	8	3	-1.0233481936147424	-1.709296662523328	-0.337399724706157	0.008820349918921605	0.5416872875875449	0.14200890397227287	0.790501578882269	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06566766452285414
Monocyte_CD14	UNC5B	11	5	6	8	3	-0.6647795231230299	-1.1104355079596402	-0.21912353828641962	0.008825915471370098	-0.5468498867012096	0.03520655239586193	0.6072677584722916	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06567519453695984
Monocyte_CD14	RP11-526I2.5	11	5	6	8	3	-0.6394804343648756	-1.068223892792391	-0.21073697593736002	0.008830874994598786	-0.3635005591733772	0.11846876643483377	0.5974622513681439	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06567820953950959
Monocyte_CD14	KDM3B	11	5	6	8	3	-1.1123103872034636	-1.8583129968213712	-0.3663077775855561	0.008845737044203276	0.5163020241313259	0.19128958225443665	0.7786464913882105	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06575483191466776
Monocyte_CD14	FAM204A	11	5	6	8	3	-0.6746274244343886	-1.1273397038718114	-0.2219151449969659	0.008870942837717843	-0.4554917966179408	0.07164593400775042	0.5968419637421415	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06585966183208256
Monocyte_CD14	PCGF6	11	5	6	8	3	-0.9655983892825777	-1.613568349806575	-0.31762842875858044	0.008870948773208142	0.15582190555316533	0.6332348435445031	0.7173742899627562	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06585966183208256
Monocyte_CD14	NFE2L1	11	5	6	8	3	-1.3661593264244443	-2.2829807136813676	-0.44933793916752074	0.00887354018027435	0.5087312633287837	0.28550903316489207	0.7610155736412625	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06585966183208256
Monocyte_CD14	RB1CC1	11	5	6	8	3	-0.6362146836085512	-1.063458250089017	-0.20897111712808525	0.00890343478317207	-0.2954139993969749	0.1916632679292704	0.6028970751120035	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06599095964969243
Monocyte_CD14	FAM111A	11	5	6	8	3	-1.2411696583064031	-2.074701359022188	-0.40763795759061805	0.0089054201596175	-2.2049279189389455	0.0006043627074725408	0.7893768645164632	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06599095964969243
Monocyte_CD14	C1orf174	11	5	6	8	3	-1.2210592614744016	-2.0411381578183883	-0.4009803651304148	0.008908319114034644	-0.4895019165138783	0.25323778020908366	0.6093405572792726	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06599095964969243
Monocyte_CD14	ALMS1	11	5	6	8	3	-0.9626666590058947	-1.609279050238838	-0.3160542677729512	0.008913428854151025	0.14467847253307387	0.6567338686044899	0.7145945844196926	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06599095964969243
Monocyte_CD14	NDUFAF3	11	5	6	8	3	0.5609282263561889	0.18415333848427412	0.9377031142281036	0.008914110630164403	0.2527883920199203	0.20379462909160564	0.6040185804098761	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06599095964969243
Monocyte_CD14	DCUN1D2	11	5	6	8	3	-0.9171793600395393	-1.5333612207425968	-0.3009974993364818	0.008922423509519151	0.27612725039553565	0.38237152942574837	0.7463464524962709	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06600468284097033
Monocyte_CD14	SELO	11	5	6	8	3	-0.7829526138683855	-1.3089892949607849	-0.25691593277598623	0.008925118337139737	-0.058991033662851855	0.8228881168484654	0.6655780491637682	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06600468284097033
Monocyte_CD14	VPS33B	11	5	6	8	3	-1.2337923526641452	-2.063119885122645	-0.40446482020564545	0.008946300391962881	0.09823879311853956	0.8131312512942375	0.6988965841592705	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06612656250035084
Monocyte_CD14	TGS1	11	5	6	8	3	-0.8999505539020161	-1.5049368453701297	-0.2949642624339025	0.008950769710885851	0.03833813488918825	0.8992360619089461	0.6907572239192695	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06612656250035084
Monocyte_CD14	CWC25	11	5	6	8	3	-0.7714890063269164	-1.2903259347276985	-0.2526520779261343	0.008968953326192164	-0.27917075224051313	0.2993282432223156	0.6136185470053526	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06620982378133584
Monocyte_CD14	ROCK1	11	5	6	8	3	-0.9923323146026306	-1.6597227728536676	-0.32494185635159356	0.008971222222365318	-0.1656190095838479	0.6225882217785605	0.6464444731629877	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06620982378133584
Monocyte_CD14	RP5-862P8.2	11	5	6	8	3	-0.8428588500287478	-1.4101180719071653	-0.27559962815033046	0.009003013131226763	-0.10731454045550382	0.706575820106049	0.6540327631727926	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.0663653786087343
Monocyte_CD14	TMEM57	11	5	6	8	3	-0.7694947819973575	-1.2874116148036867	-0.2515779491910284	0.009005909096880666	0.6202566872382311	0.038703740067935324	0.8323262466735921	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.0663653786087343
Monocyte_CD14	NFKBID	11	5	6	8	3	-0.9992080490638777	-1.6718486335352658	-0.32656746459248953	0.009013541965914121	0.26389161716081944	0.44180850219405865	0.7379506638197455	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.0663653786087343
Monocyte_CD14	NXPE3	11	5	6	8	3	-0.834582646540705	-1.3964234134790194	-0.2727418796023906	0.009015299497238064	-2.027401343632134	7.315053303342556e-05	0.8753509431399218	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.0663653786087343
Monocyte_CD14	ZNF417	11	5	6	8	3	-1.0648048295207047	-1.781841377047566	-0.34776828199384335	0.009028671419018862	0.241716323717726	0.5065600140944924	0.730024496926245	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.0663653786087343
Monocyte_CD14	GRIPAP1	11	5	6	8	3	-0.8683461270918009	-1.4531634679917198	-0.28352878619188204	0.00903456488300434	0.06099188822648127	0.8350654688969911	0.6960226805723007	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.0663653786087343
Monocyte_CD14	RNPS1	11	5	6	8	3	-0.4389393074451688	-0.734561346779046	-0.14331726811129153	0.009035086660521165	0.3605169323069122	0.03607053581820763	0.8342335287727063	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.0663653786087343
Monocyte_CD14	RP3-467L1.4	11	5	6	8	3	0.7374159886323802	0.24072788005634094	1.2341040972084194	0.009039173796958197	0.26090699989588934	0.3101812608391897	0.6139821446581224	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.0663653786087343
Monocyte_CD14	SSU72	11	5	6	8	3	0.4560919886086517	0.1488749762870124	0.763309000930291	0.009041445723683983	-0.3444118256570885	0.049513596328957785	0.824936136950418	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.0663653786087343
Monocyte_CD14	DLG1	11	5	6	8	3	-1.0425888599540885	-1.7448836793699927	-0.34029404053818424	0.009042872666984973	-1.0738257422268949	0.013522944886017504	0.6356326050485062	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.0663653786087343
Monocyte_CD14	CREBRF	11	5	6	8	3	-1.6349422084376244	-2.7364125800552137	-0.5334718368200351	0.009049609669103077	-0.3788601491186263	0.4982077481348238	0.6334404020784462	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.0663653786087343
Monocyte_CD14	BSDC1	11	5	6	8	3	-0.655893677327489	-1.0977841283700753	-0.2140032262849027	0.009050742108529063	0.4147932244794852	0.088883348570751	0.8061519835207331	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.0663653786087343
Monocyte_CD14	RBM17	11	5	6	8	3	-0.25341809872571713	-0.42417296249706565	-0.08266323495436861	0.00905645756906256	-0.166264887658647	0.0794851001961513	0.5944369654782014	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.0663653786087343
Monocyte_CD14	RP11-147L13.11	11	5	6	8	3	-0.757517343789466	-1.2679407681906358	-0.24709391938829617	0.009056727349142856	-0.7070019052434047	0.021252418700710388	0.6191906533402814	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.0663653786087343
Monocyte_CD14	CEP95	11	5	6	8	3	-1.308718479558143	-2.190725507017551	-0.42671145209873507	0.00906597817520032	-0.08236805424176907	0.8520597555085277	0.6668254871123933	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06639259750107748
Monocyte_CD14	RAD50	11	5	6	8	3	-1.245236942444897	-2.0845280644647817	-0.4059458204250125	0.00906964961355819	-0.7845346825056896	0.08999949129188228	0.5940340269817872	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06639259750107748
Monocyte_CD14	TOPBP1	11	5	6	8	3	-1.5038807539785919	-2.517714676173898	-0.4900468317832858	0.009079438446272096	-0.015886888475316496	0.975008339121403	0.6779516101529919	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.0664087158844863
Monocyte_CD14	UBE4B	11	5	6	8	3	-0.7371745794029682	-1.2341548444263366	-0.24019431437959965	0.009081061488399345	-0.30549460896600156	0.24050348276150207	0.6059825750827936	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.0664087158844863
Monocyte_CD14	CD109	11	5	6	8	3	2.879849241554904	0.93765872465157	4.822039758458239	0.009097255470436426	3.1819665775852215	0.009653645669601443	0.6495071135152677	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06646214066389484
Monocyte_CD14	ALG1L2	11	5	6	8	3	-0.6115930302632169	-1.0240586125776754	-0.19912744794875847	0.009097584471987271	-0.40141567368305886	0.07961097453140953	0.5940086678775824	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06646214066389484
Monocyte_CD14	USP9X	11	5	6	8	3	-0.7640408365445321	-1.279454318515596	-0.24862735457346818	0.009109646382733537	0.0305763519961344	0.9056328274586725	0.6887020641775344	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06651656227108878
Monocyte_CD14	TWISTNB	11	5	6	8	3	1.5034939499699294	0.48911365475196367	2.517874245187895	0.009115990569505126	-0.2872766930637951	0.5752339110123552	0.7215959985245419	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06652920040629222
Monocyte_CD14	IL17RA	11	5	6	8	3	-0.8923255813008977	-1.4945724695785223	-0.29007869302327305	0.009132112793657585	-1.0272792524734733	0.007866733143995334	0.6586416365262882	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06661315052976027
Monocyte_CD14	UGGT2	11	5	6	8	3	-1.5193654873654665	-2.5453089671018256	-0.49342200762910715	0.009154407806165771	-1.1383175039673437	0.051387502829402035	0.5974240729904093	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06661986983276987
Monocyte_CD14	ZNF35	11	5	6	8	3	-1.1727188569653662	-1.9645920374445123	-0.38084567648622003	0.009154465973191302	0.28439850094894004	0.4800146283139869	0.73222574540854	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06661986983276987
