cell_type	gene	n_frail	n_healthy_old_non_frail_F	log2cpm_difference	p_value	adj_p_value_bh	test
B	CD83	5	3	1.3517210484972484	0.03571428571428571	0.23489220387287765	Mann-Whitney U donor pseudobulk logCPM, F-series-only sensitivity
B	CDC14B	5	3	-0.7712651527838574	0.03571428571428571	0.23489220387287765	Mann-Whitney U donor pseudobulk logCPM, F-series-only sensitivity
B	CDC40	5	3	-0.8237812899082879	0.03571428571428571	0.23489220387287765	Mann-Whitney U donor pseudobulk logCPM, F-series-only sensitivity
B	CEP120	5	3	-0.6473251389837911	0.03571428571428571	0.23489220387287765	Mann-Whitney U donor pseudobulk logCPM, F-series-only sensitivity
B	CEP78	5	3	-1.0019535573319276	0.03571428571428571	0.23489220387287765	Mann-Whitney U donor pseudobulk logCPM, F-series-only sensitivity
B	CERK	5	3	0.746530756197521	0.03571428571428571	0.23489220387287765	Mann-Whitney U donor pseudobulk logCPM, F-series-only sensitivity
B	CH507-42P11.8	5	3	1.2351964089527487	0.03571428571428571	0.23489220387287765	Mann-Whitney U donor pseudobulk logCPM, F-series-only sensitivity
B	CH507-513H4.4	5	3	1.6463799767889458	0.03571428571428571	0.23489220387287765	Mann-Whitney U donor pseudobulk logCPM, F-series-only sensitivity
B	CH507-513H4.6	5	3	1.547852911107542	0.03571428571428571	0.23489220387287765	Mann-Whitney U donor pseudobulk logCPM, F-series-only sensitivity
B	CKS1B	5	3	-0.6908751276293454	0.03571428571428571	0.23489220387287765	Mann-Whitney U donor pseudobulk logCPM, F-series-only sensitivity
B	CKS2	5	3	1.0108555045067078	0.03571428571428571	0.23489220387287765	Mann-Whitney U donor pseudobulk logCPM, F-series-only sensitivity
B	CLINT1	5	3	-0.7882285645037914	0.03571428571428571	0.23489220387287765	Mann-Whitney U donor pseudobulk logCPM, F-series-only sensitivity
B	CLK4	5	3	-0.6481685670871045	0.03571428571428571	0.23489220387287765	Mann-Whitney U donor pseudobulk logCPM, F-series-only sensitivity
B	CLTB	5	3	0.30401665356059215	0.03571428571428571	0.23489220387287765	Mann-Whitney U donor pseudobulk logCPM, F-series-only sensitivity
B	CMTR1	5	3	-1.044391407765774	0.03571428571428571	0.23489220387287765	Mann-Whitney U donor pseudobulk logCPM, F-series-only sensitivity
B	CNOT4	5	3	-0.9129107909643404	0.03571428571428571	0.23489220387287765	Mann-Whitney U donor pseudobulk logCPM, F-series-only sensitivity
B	CNOT8	5	3	-0.3926317327669784	0.03571428571428571	0.23489220387287765	Mann-Whitney U donor pseudobulk logCPM, F-series-only sensitivity
B	CNTRL	5	3	-1.1751622930198282	0.03571428571428571	0.23489220387287765	Mann-Whitney U donor pseudobulk logCPM, F-series-only sensitivity
B	COMMD5	5	3	1.3430513897366145	0.03571428571428571	0.23489220387287765	Mann-Whitney U donor pseudobulk logCPM, F-series-only sensitivity
